,respondent_id,h1n1_vaccine,seasonal_vaccine
0,26707,0.08742897200618209,0.24796048080555752
1,26708,0.051848828675239884,0.0502425320764007
2,26709,0.474787966539031,0.6524528948988694
3,26710,0.48331651059314235,0.8766492189909387
4,26711,0.17168028482957967,0.44156930085728985
5,26712,0.43302553747420686,0.9121082326425037
6,26713,0.38043723784850986,0.604546437603422
7,26714,0.14800880461533883,0.239479449335312
8,26715,0.04365518136216599,0.15488630269628612
9,26716,0.2200167121775659,0.8902437264002958
10,26717,0.015395859910457646,0.3111386448931266
11,26718,0.2136899719308104,0.4808596561216819
12,26719,0.0773642412111548,0.9106199798588116
13,26720,0.07813512731018757,0.16340447749410628
14,26721,0.45837174304493156,0.5225224256909495
15,26722,0.05129314887794025,0.07402546100470819
16,26723,0.6458127746407637,0.8481656865016539
17,26724,0.11245939708318606,0.6254866871325332
18,26725,0.03651543287196491,0.08392614306655681
19,26726,0.015541611467983689,0.03927703482427513
20,26727,0.3370810280029758,0.8355075265634578
21,26728,0.19302928334074,0.5263949133925294
22,26729,0.06929399804545705,0.33077998430506816
23,26730,0.03271022862908946,0.16640990322157645
24,26731,0.019235106492387896,0.33233570985417027
25,26732,0.10411770439318008,0.09338661758255458
26,26733,0.9207185918953245,0.9562672905291792
27,26734,0.8541973171908219,0.43505752718129354
28,26735,0.1554205780115499,0.451329403674738
29,26736,0.07635870794944775,0.17139914156250163
30,26737,0.07686747807633719,0.09046740290714413
31,26738,0.6753829418375752,0.8703792692856901
32,26739,0.08764648951613245,0.22948557943336798
33,26740,0.17295925716559676,0.1494168728754042
34,26741,0.18639601619298757,0.9043889179645603
35,26742,0.15298644054715774,0.4389573945196714
36,26743,0.044288885873047995,0.5217893826897186
37,26744,0.05181374336025872,0.5874458586789403
38,26745,0.09923343285148009,0.9305482928159259
39,26746,0.12193125318955018,0.35176564868934246
40,26747,0.09604315591150393,0.2579833030735428
41,26748,0.14543804887531647,0.08417980118771219
42,26749,0.06355785064967945,0.6861653267628042
43,26750,0.6943550183667789,0.9334277708823294
44,26751,0.2747346594991743,0.6934081074759676
45,26752,0.020917390486707,0.015291176133940371
46,26753,0.20238440643628794,0.6745153425511977
47,26754,0.12386639599740906,0.6214425293043667
48,26755,0.0970572239155289,0.3608770181776446
49,26756,0.015602285166713376,0.03208256518988666
50,26757,0.5032962046939738,0.5734032804354439
